issue_id,issue_type,severity,component,user_impact,business_impact,complexity,urgency,affected_users,days_old,num_comments,num_assignees,estimated_hours,actual_hours,has_attachments,is_reproducible,requires_approval,is_completed,priority
ISS-0001,Bug,Low,Database,8,5,7,10,89,87,3,3,23.316604230558497,46.360808476747216,False,True,True,True,High
ISS-0002,Feature Request,High,API,3,7,4,9,90,88,6,2,1.2799497715478327,,False,True,False,False,High
ISS-0003,Feature Request,High,Backend,10,2,10,4,104,214,9,1,1.1260795586868497,1.230041787924533,True,True,False,True,High
ISS-0004,Documentation,Medium,Backend,7,10,9,7,113,32,2,3,9.11911487140816,,True,True,False,False,High
ISS-0005,Feature Request,Medium,Database,9,10,10,3,95,221,5,2,17.993358513920057,16.975843604064426,False,True,False,True,High
ISS-0006,Performance,High,API,9,7,1,1,92,115,4,2,3.511248372019713,2.6419916577926617,False,True,True,True,High
ISS-0007,Bug,High,Backend,3,1,5,1,105,52,7,2,9.030702617101106,5.738421402642256,False,True,True,True,High
ISS-0008,Feature Request,Medium,Database,10,3,3,4,105,127,7,1,33.214239493130584,29.601983765984542,False,True,False,True,High
ISS-0009,Bug,High,Database,3,4,8,6,110,74,9,2,42.56242296473126,22.4352083895333,True,True,False,True,High
ISS-0010,Enhancement,High,API,3,6,7,6,98,282,6,2,12.70727004653864,25.310667896706455,True,False,False,True,High
ISS-0011,Security,High,Infrastructure,5,3,1,4,95,160,6,2,37.88455798277054,48.39731364513019,False,True,False,True,High
ISS-0012,Bug,High,Backend,3,2,9,8,117,312,3,1,18.41588099550918,25.19840103997218,False,True,True,True,High
ISS-0013,Security,Low,Backend,6,1,4,10,112,100,4,1,7.0632715250041676,10.285146471159823,False,True,False,True,High
ISS-0014,Documentation,High,API,10,7,10,5,91,126,4,2,11.030794302214206,10.147237004248991,False,True,False,True,High
ISS-0015,Feature Request,High,Database,5,6,9,5,85,203,3,2,9.393405699578368,18.07026923708069,True,True,False,True,High
ISS-0016,Feature Request,Medium,Mobile,4,8,7,2,121,177,7,1,2.932386269992166,1.6375755663297087,False,True,False,True,High
ISS-0017,Enhancement,High,Database,9,7,4,10,107,216,7,3,4.333869367446026,,False,True,False,False,High
